Description,Address,"Latitude, Longitude",Entrance,Phone,Operator,Hourly,Daily Max,EarlyBird,After Hours(flat rate),WeekendRate,Monthly Rate,Hours of Operation,Indoors/Outdoors,Service Type,Motorcyles Allowed,Vehicle Types,Height Restriction,Note,Location 1
860 Halekauwila Sreet,860 Halekauwila Street,"21.297997, -157.855757",,"983-1688
597-1789",District Parking,,,,,,,,,,,,"6' 10""",,"21.297997, -157.855757
"
888 Nuuanu Avenue,888 Nuuanu Avenue,"21.310771, -157.863999",,592-7275,Diamond,"0-1 hrs - $8, 1-2 hrs. $10",$10.00,,$7 after 5 pm,"$6 before 5 pm, $10 after 5 pm, $15 all day",,"Mon-Sun, 24 hrs",,,,,,,"21.310771, -157.863999
"
919 Auahi Street,919 Auahi,"21.296043, -157.856977",,592-7275,Diamond,,,,,,,,,Honesty Box,,,,,"21.296043, -157.856977
"
949 Halekauwila St. (bet. Ward Ave-Kamani St),949 Halekauwila Street,"21.297289, -157.855757",,,Diamond,,$8.00,,,,,,,,,,,,"21.297289, -157.855757
"
954 Kaheka St. (bet. Kanunu St-S. King St),954 Kaheka Street,"21.297278, -157.838395",,,ELITE,,$6.00,,,,,,,,,,,,"21.297278, -157.838395
"
968 Cooke St. (bet. Kapiolani Blvd-S. King St),,,,,Diamond,,$18.00,,,,,,,,,,,,
Ala Moana Pacific Center (bet. Mahukona St-Keeaumoku St),1601 Kapiolani Boulevard,"21.291740, -157.839812",,,Diamond,,$6.00,,,,,,,,,,,,"21.291740, -157.839812
"
Alakea Corporate Tower,1100 Alakea Street,"21.309464, -157.859565",,971-7755,ProPark,30 mins-$3.25,$45.00,,,,$200,Mon-Fri 7am-7:30pm; Sat 8am-2pm,Indoors,,,,,,"21.309464, -157.859565
"
Alii Place,1099 Alakea Street,"21.308709, -157.859664",,522-1285,Ampco,1st 2 hrs - $1.50; thereafter $6,$21.00,,$3 after 3 pm,$3,"$366.40 rsvd, $251.31 unrsvd, $413.61 preminun rsvd",Mon-Sun,,,,,,,"21.308709, -157.859664
"
Aloha Tower Marketplace - Irwin Park Lot,1 Aloha Tower Drive,"21.307248, -157.864930",,544-1456,Standard,1 hr-$1.50; 2 hrs-$3; 3 hrs-$4.50; Addtl. 30 mins-$3,$25.00,"$8,, in 7-9am out by 6:30pm",$5 in after 4pm,,"$157.07 unrsvd, $209.47 rsvd",,,,,,,,"21.307248, -157.864930
"
American Savings Bank (bet. Kona Iki St-Piikoi St),1357 Kapiolani Boulevard,"21.293424, -157.844982",,973-1235,ABM Parking Service,30 mins-$1.75,$21.00,$5 in 7-9am,,,$156 rsvd; $104 unrsvd,Mon-Fri 7am-8pm; Sat 8am-2pm,,,,,,,"21.293424, -157.844982
"
Aston Pacific Monarch Parking (bet. Uluniu Ave-Kaiulani Ave),2427 Kuhio Avenue,"21.276557, -157.823873",,,,,$12.00,,,,,,,,,,,,"21.276557, -157.823873
"
"Bank of Hawaii, Waikiki Center",271 Beachwalk,"21.280300, -157.830699",,,ABM,,$18.00,,,,,,,,,,,,"21.280300, -157.830699
"
Beretania & Nuuanu,1171 Nuuanu Avenue,"21.311915, -157.860385",,971-7755,ProPark,$3/half hr.,$50.00,$10 paid in advance,$7 after 4 pm,$7,"$193.72 unrsvd., $208.47 rsvd","Mon-Sun, 5am-5pm",,,,,,,"21.311915, -157.860385
"
Bishop Place,1132 Bishop Street,"21.309971, -157.860195",,522-1293,ABM,30 mins-$3.25; 1hr-$6.50; 90 mins-$9.75; 2 hrs-$13; 2.5 hrs-$16.25; 3 hrs-$19.50; 4 hrs-$26,$33.00,"$15, in 6am-9am out by 7 pm",,,,"Mon-Fri, 5:30am-7pm",,,,,,,"21.309971, -157.860195
"
Bishop Square,1003 Bishop Street,"21.309232, -157.860342",,532-2658,Standard,$8,$64.00,$10 before 6 am,$4 afteer 5 pm,$4,"$235 unrsvd., $360 rsvd.",Mon-Sun,,,,,,,"21.309232, -157.860342
"
Blackfield Building,1221 Kapiolani Building,"21.295126, -157.847518",,,ELITE,$5 w/validaton from Honolulu Design Center,,,,,,"Mon-Sun, 24 hrs",Indoors,Pay on Foot,,,,,"21.295126, -157.847518
"
Capitol Place/Pflueger Honda Building,1200 Queen Emma Street,"21.310478, -157.857866",,695-2000,,30 mins-$0.75; 1 hrs-$1.50; 90 mins-$2.25; 2 hrs-$3; Additional 30 mins-$1.50,$21.00,,$0.50-30 mins; $3 max; in after 5 pm,30 mins-$0.50; Max $3,,Mon-Sun 24 hrs,Indoors,,,,,,"21.310478, -157.857866
"
Central Pacific Bank,505 Ward Avenue,"21.297501, -157.853917",,291-2037,ABM,20 Mins. Free,,,,,,"Mon-Thu, 8:30 am- 4 pm; Fri 8:30 am - 6 pm",,,,,,Customers Only,"21.297501, -157.853917
"
Central Pacific Plaza,220 S. King Street,"21.307847, -157.860569",,286-3594,Ampco,$6.50,$42.00,,,,"$230.36 unrsvd., $345.55 rsvd","Mon-Sun, 24 hrs",,,,,,,"21.307847, -157.860569
"
Central Pacific Plaza Parking (bet. Richards St-Alakea St),250 S. King Street,"21.307397, -157.860207",,,ABM,,$21.00,,,,,,,,,,,,"21.307397, -157.860207
"
Century Square,1188 Bishop Street,"21.310558, -157.858979",,532-2658,Standard,$6,$30.00,,,,Tenants Only,,,,,,,,"21.310558, -157.858979
"
Chinatown Cultural Plaza,100 N. Beretania Street,"21.314231, -157.861556",Maunakea Street,532-4515,Ampco,"1st hr-$1, 1-2 hrs: $2, 2-4 hrs: $3, 4-6 hrs: $4; Rate w/o validations: $1.50/half hr.",$24.00,,$3 after 5 pm,$3,$150 unrsvd,Mon-Sun,,,,,,,"21.314231, -157.861556
"
Chinatown Gateway Plaza,1031 Nuuanu Avenue,"21.310486, -157.862162",,524-3737,Republic,1st 2 hrs: $0.75/half hr.  Thereafter:  $1.50/half hr.,$21.00,,$3 after 5 pm,$3,$150 unrsvd,,,,,,,,"21.310486, -157.862162
"
Chinatown Market Place,154 N. Nimitz Hwy (bet. Kekaulike St-River St),"21.312909, -157.864933",,,ProPark,,$6.00,,,,,,,,,,,,"21.312909, -157.864933
"
Chinatown Municipal Parking,27 N. Beretania Street or 162 Nimitz Highway (?),"21.313589, -157.861632",,,ProPark,,,,,,,,,,,,,,"21.313589, -157.861632
"
Chinatown Open Market (bet. Maunakea St-Aala St),151 N. Kukui Street,"21.314911, -157.860020",,,ABM,,$18.00,,,,,,,,,,,,"21.314911, -157.860020
"
City Financial Center,846 Richards Street,"21.306760, -157.861027",,,,,$21.00,,,,,,,,,,,,"21.306760, -157.861027
"
City Financial Center (bet. Richards St-Alakea St),846 Richards Street,"21.306760, -157.861027",,,,,$21.00,,,,,,,,,,,,"21.306760, -157.861027
"
City Financial Tower,201 Merchant Street,"21.307201, -157.861458",,545-4421,Ampco,$7,$42.00,$11 before 8 am,,$5 (Sat only),"$235 unrsvd, $345 rsvd","Mon-Sat, 24 hrs",,,,,,,"21.307201, -157.861458
"
Clifford Center,810 Richards Street,"21.306634, -157.861591",,941-1301,Republic,"$2.50/half hr., $10 all day (7 am-6 pm)",,,,,"$210 unrsvd, $275 rsvd","Mon-Fri, 7am-6pm",,,,,,,"21.306634, -157.861591
"
Davies Pacific Center,841 Bishop Street,"21.307520, -157.862430",,585-2102,Ampco,$8,$45.00,,"$4half hr, $8 max after 4:30 pm","$4/half hr., $8 max",Tenants Only,"Mon-Fri, 8am-9pm",,,,,,,"21.307520, -157.862430
"
Distric Parking Service - Lot C (bet. Keawe St-Pier 1),0000 Ilalo Street,"21.297325, -157.864135",,,District Parking,,$5.00,,,,,,,,,,,,"21.297325, -157.864135
"
Executive Center ,1088 Bishop Street,"21.309304, -157.860781",,532-2675,Standard,$3/half hr,$45.00,$9 befor 9 am,$4 after 4:30 pm,$4,"$230 unrsvd, $350 rsvd",Mon-Sun,,,,,,,"21.309304, -157.860781
"
Finance Factors Center,1164 Bishop Street,"21.310453, -157.859604",,971-7755,ProPark,$3.50,$40.00,,,$5 (Sat only),Tenants Only,,,,,,,,"21.310453, -157.859604
"
First Hawaiian Bank (bet. Kaheka St-Keeaumoku St),1563 Makaloa Street,"21.292996, -157.840327",,,ProPark,,$10.00,,,,,,,,,,,,"21.292996, -157.840327
"
First Hawaiian Bank-Kapiolani Branch,1580 Kapiolani Boulevard,"21.292357, -157.839873",,971-7755,ProPark,,,,$6 in after 5pm out by 6am,Sat-Sun 24 hours $6 ends at 6am,,,Outdoors,,,,None,,"21.292357, -157.839873
"
First Hawaiian Center,999 Bishop Street,,,525-5126,First Hawaiian,n/a,,$10 before 7 am,,$5 (Sat only),Tenants Only,"Mon-Sat, 24 hrs",,,,,,,
First Insurance Center,1100 Ward Avenue,,,537-2940,ABM,30 mins-$2.50; 1-hr-$5; 90 mins-$7.50; 2 hrs-$10; 2.5 hrs-$12.50; 3 hrs-$15; 4 hrs-$20; 5 hrs-$25,$32.00,,,,,Mon-Fri 6am-8pm; Sat 7am-2:30pm,Indoors,Pay on Foot,,,"6'2""",,
First Interstate Building,1314 South King Street,,,,,N/A,,,,,,,Indoors,"Pay on Foot, Manned",,,"6' 2""",,
First Methodist Church,1020 S. Beretania Street,,,N/A,Diamond,N/A,,,,,,,Indoors,Honesty Box,,,,,
Frank F. Fasi Municipal Building - Civic Center Lot-Employee/Metered Parking,1130 Alapai Street,,,,CCH-DFM,30 min-$1.50,,,,,,"Mon-Fri, 8am-4pm",,,,,,,
Hale Koa Hotel,2160 Kalia Road,,,,,,$10.00,,,,,,,,,,,,
Hale Pauahi - Chinatown Municipal Parking,155 N. Beretania Street,,,426-6511,ABM,30 mins-$0.75; 1 hr-$1.50; 90 mins-$2.25; 2 hrs-$3; 2.5 hrs-$4.50; 3 hrs-$6; 4 hrs-$9; 5 hrs-$12,$21.00,,"$0.50/half hr., $3 max fter 5 pm",30 mins-$0.50; Max $3,$90 unrsvd,Mon-Fri 5pm-12 am; Sat & Sun 6am-12am,,,,,,,
Haleiwa Park and Ride,66-434 Kamehameha Highway,,,,CCH-DTS,,,,,,,,,,,,,,
Halekulani & Waikiki  Parc Hotel(at Lewers St),2284 Kalia Road,,,,Standard,,$27.00,,,,,,,,,,,,
Harbor Court,22 Merchant Street,,,522-1240,Ampco,1st 2 hrs: $0.75/half hr.  Thereafter: $$1.50/half hr,,,"$0.50/half hr., $3 max after 5 pm","$0.50/half hr., $3 max",$140 unrsvd,"Mon-Sun, 24 hrs",,,,,,,
Harbor Square,700 Richards Street,,,971-7755,ProPark,$4/half hr,$75.00,"$10 before 8 am., $12 re-entry",$5 after 4 pm,$5,"$250 unrsvd., $425 rsvd",Mon-Sun,,,,,,,
Harbor Village (Commercial),901 River Street,,,,CCH-DFM,,,,,,,,,,,,,,
Haseko Center,820 Mililani Street,,,522-1772,Ampco,$3/half hr,$30.00,$10 before 8 am,,,"$246.07 unrsvd., $314.14 rsvd","Mon-Fri, 6am-6pm",,,,,,,
Hawaii Convention Center (bet. Ala Wai Blvd-Kapiolani Blvd),1825 Kalakaua Avenue,,,,,,$10.00,,,,,,,,,,,,
Hawaii Kai Park & Ride,220 Keahole Street,,,,CCH-DTS,,,,,,,,,,,,,,
Hawaii National Bank,45 N. King Street,,,532-4518,Diamond,$3,$24.00,,,,,"Mon-Fri, 7am-6:30pm",,,,,,,
HMSA Center,818 Keeaumoku Street,,,971-7755,ProPark,30 mins-$1.50; 24 hrs-$30,,,$5 in after 4pm out by 12am,,,Mon-Thu 7am-12am; Fri & Sat 7am-2am; Sun 7am-12am,,"Pay on Foot, Manned",,,"6' 4""",,
Honolulu Club,932 Ward Avenue,,,440-2766,ABM,30 mins-$3.25; 1 hr-$5;  90 mins-$6.75; 2 hrs-$8.50; 2.5 hrs-$10.25; 3 hrs-$12; 4 hrs-$15.50,$23.00,,,,,Mon-Fri: 6am-11:30pm; Sun: 8am-11:30; Sun: 9am-8pm,Indoors,"Pay on Food, Manned",,,,,
Honolulu Design Center,1250 Kapiolani Boulevard,,,237-5475,,3 hrs free; additional 30 mins-$3,,,,,,"Mon-Sun, 9am-9pm",Indoors,,,,,Visitors Only,
Honolulu Police Department - Employee & Metered Parking,801 S. Beretania Street,,,,CCH-HPD,,,,,,,,,,,,,,
Iolani Palace,364 S. King Street,,,586-0352,State of Hawaii,"$1/hr., 4 hr max (Meter parking, quarters only)",,,,,,,,,,,,,
Joint Traffice Management Center (Employee parking),752 S. King Street,,,,CCH-DTS,,,,,,,,,,,,,,
Kailua Elderly Lot (Lani Huli),26 Aulike Street,,,,CCH-DFM,,,,,,,,,,,,,,
Kailua Lot (Commercial),26 Aulike Street,,,,CCH-DFM,,,,,,,,,,,,,,
Kaimuki Lot 1 (Commercial Parking),1150 12th Avenue,,,,CCH-DTS,,,,,,,,,,,,,,
Kaimuki Lot 2 (Metered Parking),Kokohead Avenue/12th Avenue,,,,CCH-DFM,,,,,,,,,,,,,,
Kaiser Honolulu Medical Clinic,1010 Pensacola Street,,,,Kaiser Permanente,30 min-Free; 3 hrs-$3,$10.00,,,,,"Mon-Sun, 24 hrs",Indoors,,,,"6' 5""",Disable Spaces,
Kakaako Piano Lot,160 Ahui Street,,,585-8540,Republic,2 hrs-$2; 10 hrs-$3; 24 hours-$5,,,,,$60,"Mon-Sun, 24 horus",Outdoors,,,,None,"Disable Spaces, Electric Car Charging",
Kalakaua Lot (Metered Parking),2748 Kalakaua Avenue,,,,CCH-DTS,,,,,,,,,,,,,,
Kalanimoku Building,1151 Punchbowl Street,,,586-0352,State of Hawaii,"$1/hr., 4 hr max (Meter parking, quarters only)",,,,,,,,,,,,,
Kapiolani Business Center (bet. Kalauokalani Way-Kaheka St),1660 Kapiolani Boulevard,,,,,,$12.00,,,,,,,,,,,,
Kapiolani Business Plaza,1580 Makaloa Street,,,255-3878,ABM,30 min-$1.75; 1 hr-$3.50; 90 mins-$5.25; 2 hrs-$7; 2.5 hrs-$8.25; 3 hrs-$10.50; 4 hrs-$14; 5 hrs-$17.50,$26.00,,,,,Mon-Fri 6am-7pm; Sat 7am-3pm,"Indoors, Gated, Manned",,,,,,
Kapiolani Park (Free/unpaid parking lots around Kapiolani Park),"Paki Avenue
Bandstand area
Old driving range parking lot
Diamond Head tennisw courts                                                                                                                                                                                                                                                        Monsarat/Paki Avenue
Paki Hale",,,,CCH-DPR,,,,,,,,,,,,,,
Kapiolani Park (Metered street parking),,,,,CCH-DTS,,,,,,,,,,,,,,
Kapolei Hale (Employee parking),1000 Uluohia Street,,,,CCH-DFM,,,,,,,,,,,,,,
Kapolei Hale (Open public parking-no commercial or metered parking),1000 Uluohia Street,,,,CCH-DFM,,,,,,,,,,,,,,
Kawaiahao Plaza,567 South King Street,,,,Standard,Free w/parking validation,,,,,,,,,Yes,,,,
Kekaulike Courtyard,1016 Maunakea Street,,,585-0423,Ampco,1st 2 hrs: $0.75/half hr.  Thereafter: $1.50/half hr,No Max,,"$0.50/half hr., $3 max after 5 pm","$0.50/half hr., $3 max",$150 first month.  Thereafter $125,,,,,,,,
Kekuanaoa Building,465 S. King Street,,,586-0352,State of Hawaii,"$1/hr., 4 hr max (Meter parking, quarters only)",,,,,,,,,,,,,
Kinau Hale Building,1250 Punchbowl Street,,,586-0352,State of Hawaii,"$1/hr., 2 hr. max (Meter parking, quarters only)",,,,,,,,,,,,,
King Center (bet. Kaheka St-Keeaumoku St),1451 S. King Street,,,,ProPark,,$15.00,,,,,,,,,,,,
King Kalakaua Plaza (bet. Kalakaua Ave-Kuhio Ave),374 Kalaimoku Street,,,,Diamond,,$9.00,,,,,,,,,,,,
Kings Alley (bet. Uluniu Ave-Kaiulani Ave),2412 Koa Avenue,,,,Elite Parking,,$18.00,,,,,,,,,,,,
Kuakini Medical Center,347 North Kuakini Street,,,547-9370,Kuakini Medical ,Patients and visitors only,,,,,,,Indoors,,,,,,
Kuhio Village Parking (bet. Liliuokalani Ave-Uluniu Ave),2463 Kuhio Avenue,,,,ProPark,,$12.00,,,,,,,,,,,,
Kuhio-Kaiolu Lot,Kuhio Avenue/Kaiolu Street,,,,CCH-DFM,,,,,,,,,,,,,,
Kukui Plaza,1255 Nuuanu Avenue,,,521-1956,Republic,1sr 2 hrs: $0.75/half hr.  Thereafter: $1.50/half hr,$21.00,,"$0.50/half hr., $4 max after 5 pm","$0.50/half hr., $4 max",$100 unrsvd,Mon-Sun,,,,,,,
Landmark Shops (bet. McCully St-Kalakaua Ave),1831 Ala Wai Boulevard,,,,Diamond,,$3.00,,,,,,,,,,,,
Makai Garage,530 Halekauwila Street,,,586-0352,State of Hawaii,1st 2 hrs: $1/hr.  Thereafter: $2/hr (7 am - 5 pm),,,,,,"Mon-Fri, 7am-5pm",,,,,,,
Marin Tower,60 N. Nimitz Highway,,,422-1247,Ampco,1st 2 hrs.: $.075/half hr.  Thereafter: $1.50/half hr,$21.00,$6 before 8 am,"$0.50/half hr., $3 max after 5 pm","$0.50/half hr., $3 max",$125 unrsvd,,,,,,,,
Marks Garage,22 S. Pauahi Street,,,532-9300,ProPark,$3 half hr.,$50.00,$10 before 3 pm,$5 after 3 pm,$5,"$167.54 unrsvd., $287.96 rsvd",Mon-Fri,,,,,,,
Maule Sky Court Hotel (bet. Kuhio Ave-Ala Wai Blvd),414 Namahana Street,,,,ABM,,$7.00,,,,,,,,,,,,
